Access_ID,Access Name,Description,Access Level,Active,Created By,Created Date,Last Updated By,Last Updated Date,Website URL,Customer_ID
2,Registered Users,Access limited to registered users,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/registered,2
5,Employees,Access limited to company employees,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/employees,5
6,Developers,Access restricted to developers and IT staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/developers,6
7,Partners,Access limited to authorized partners,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/partners,7
8,Subscribers,Access for subscribed users only,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/subscribers,8
9,Editors,Access limited to content editors and moderators,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/editors,9
10,Contributors,Access for contributors and authors,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/contributors,10
11,Testers,Access restricted to testers and quality assurance team,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/testers,11
12,Clients,Access limited to clients and customers,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/clients,12
13,Suppliers,Access for authorized suppliers and vendors,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/suppliers,13
14,Managers,Access limited to managers and team leaders,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/managers,14
15,Finance Team,Access restricted to finance department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/finance,15
16,HR Department,Access limited to human resources department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/hr,16
17,Sales Team,Access restricted to sales department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/sales,17
18,Marketing Team,Access limited to marketing department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/marketing,18
19,Support Team,Access restricted to customer support team members,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/support,19
20,IT Department,Access limited to IT department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/it,20
21,Legal Department,Access restricted to legal department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/legal,21
22,Production Team,Access limited to production department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/production,22
23,Logistics Team,Access restricted to logistics department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/logistics,23
24,Quality Control,Access limited to quality control team members,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/quality,24
25,Security Team,Access restricted to security department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/security,25
26,Engineering Team,Access limited to engineering department staff,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/engineering,26
27,Research Team,Access restricted to research and development team members,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/research,27
28,Customer Beta Testers,Access for customers participating in beta testing programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/beta-testers,28
29,Product Reviewers,Access limited to product reviewers and influencers,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/product-reviewers,29
30,Content Creators,Access for content creators and social media influencers,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-creators,30
31,Wholesale Buyers,Access restricted to wholesale buyers and distributors,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/wholesale-buyers,31
34,Preferred Members,Access restricted to preferred members and loyal customers,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/preferred-members,34
35,Content Subscribers,Access for subscribers to premium content and newsletters,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-subscribers,35
36,Event Attendees,Access limited to attendees of exclusive events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-attendees,36
37,Forum Members,Access for registered members of discussion forums,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/forum-members,37
38,Early Access Users,Access for users granted early access to new features and products,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/early-access,38
39,Beta Testers,Access restricted to participants in beta testing programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/beta-testers,39
40,Event Speakers,Access limited to speakers and presenters at events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-speakers,40
41,Training Participants,Access for participants in training sessions and workshops,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/training-participants,41
42,Community Leaders,Access restricted to community leaders and moderators,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/community-leaders,42
43,Advertisers,Access for advertisers and sponsors of the website,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/advertisers,43
44,Brand Ambassadors,Access limited to brand ambassadors and advocates,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/brand-ambassadors,44
45,Product Testers,Access restricted to participants in product testing programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/product-testers,45
46,Student Members,Access for student members and educational institutions,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/student-members,46
47,Referral Program Participants,Access limited to participants in referral programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/referral-program,47
48,Industry Professionals,Access restricted to industry professionals and experts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/industry-professionals,48
49,Subscription Managers,Access for subscription managers and administrators,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/subscription-managers,49
50,Content Editors,Access limited to content editors and publishers,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-editors,50
51,Content Contributors,Access for contributors of user-generated content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-contributors,51
52,Review Writers,Access limited to writers of product reviews and testimonials,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/review-writers,52
53,Product Owners,Access restricted to owners of registered products,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/product-owners,53
54,Verified Users,Access for verified users with confirmed identities,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-users,54
55,Event Organizers,Access limited to organizers of events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-organizers,55
56,Program Participants,Access restricted to participants in specific programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-participants,56
57,Content Submitters,Access for users submitting content for publication,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-submitters,57
59,Verified Buyers,Access restricted to buyers with verified purchase history,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-buyers,59
60,Event Registrants,Access limited to registered attendees of events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-registrants,60
61,Content Reviewers,Access restricted to reviewers of submitted content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-reviewers,61
62,Program Managers,Access for managers and administrators of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-managers,62
63,Content Moderators,Access limited to moderators of user-generated content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-moderators,63
65,Verified Reviewers,Access for reviewers with verified credentials,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-reviewers,65
66,Event Speakers,Access limited to speakers at events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-speakers,66
67,Content Creators,Access for creators of original content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-creators,67
68,Program Coordinators,Access restricted to coordinators of programs and initiatives,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-coordinators,68
69,Content Editors,Access limited to editors of published content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-editors,69
70,Internal Developers,Access restricted to internal development team,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-developers,70
71,Verified Participants,Access limited to participants with verified qualifications,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-participants,71
72,Event Sponsors,Access restricted to sponsors of events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-sponsors,72
73,Content Publishers,Access for publishers of approved content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-publishers,73
74,Program Advisors,Access limited to advisors and consultants of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-advisors,74
75,Content Analysts,Access restricted to analysts and researchers of content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-analysts,75
76,Internal Testers,Access for internal users participating in testing,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-testers,76
77,Event Attendees,Access limited to attendees of events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-attendees,77
78,Content Managers,Access restricted to managers of content and publications,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-managers,78
79,Program Leaders,Access limited to leaders and directors of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-leaders,79
80,Content Designers,Access restricted to designers and creators of content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-designers,80
81,Internal Auditors,Access limited to internal auditors and compliance officers,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-auditors,81
82,Verified Subscribers,Access restricted to subscribers with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-subscribers,82
83,Verified Participants,Access limited to participants with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-participants,83
84,Event Speakers,Access for speakers and presenters at events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-speakers,84
85,Content Writers,Access limited to writers and contributors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-writers,85
86,Program Managers,Access restricted to managers and leaders of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-managers,86
87,Content Moderators,Access for moderators and overseers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-moderators,87
89,Verified Reviewers,Access restricted to reviewers with verified credentials,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-reviewers,89
90,Event Sponsors,Access for sponsors and supporters of events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-sponsors,90
91,Content Publishers,Access limited to publishers and authors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-publishers,91
92,Program Advisors,Access restricted to advisors and consultants of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-advisors,92
93,Content Analysts,Access for analysts and researchers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-analysts,93
94,Internal Testers,Access limited to internal users participating in testing,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-testers,94
95,Event Volunteers,Access for volunteers assisting at events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-volunteers,95
96,Content Curators,Access restricted to curators and collectors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-curators,96
97,Program Members,Access limited to members enrolled in specific programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-members,97
98,Content Submitters,Access for users submitting content for publication,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-submitters,98
100,Verified Customers,Access restricted to customers with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-customers,100
101,Event Attendees,Access for attendees of events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-attendees,101
102,Content Editors,Access limited to editors and moderators of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-editors,102
103,Program Coordinators,Access restricted to coordinators and administrators of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-coordinators,103
104,Content Managers,Access for managers and overseers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-managers,104
105,Internal Developers,Access limited to internal development team,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-developers,105
106,Verified Participants,Access restricted to participants with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-participants,106
107,Event Speakers,Access for speakers and presenters at events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-speakers,107
108,Content Writers,Access limited to writers and contributors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-writers,108
109,Program Managers,Access restricted to managers and leaders of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-managers,109
110,Content Moderators,Access for moderators and overseers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-moderators,110
112,Verified Reviewers,Access restricted to reviewers with verified credentials,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-reviewers,112
113,Event Sponsors,Access for sponsors and supporters of events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-sponsors,113
114,Content Publishers,Access limited to publishers and authors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-publishers,114
116,Verified Participants,Access limited to participants with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-participants,116
117,Event Speakers,Access for speakers and presenters at events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-speakers,117
118,Content Writers,Access limited to writers and contributors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-writers,118
119,Program Managers,Access restricted to managers and leaders of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-managers,119
120,Content Moderators,Access for moderators and overseers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-moderators,120
122,Verified Reviewers,Access restricted to reviewers with verified credentials,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-reviewers,122
123,Event Sponsors,Access for sponsors and supporters of events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-sponsors,123
124,Content Publishers,Access limited to publishers and authors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-publishers,124
125,Program Advisors,Access restricted to advisors and consultants of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-advisors,125
126,Content Analysts,Access for analysts and researchers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-analysts,126
127,Internal Testers,Access limited to internal users participating in testing,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-testers,127
128,Event Volunteers,Access for volunteers assisting at events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-volunteers,128
129,Content Curators,Access restricted to curators and collectors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-curators,129
130,Program Members,Access limited to members enrolled in specific programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-members,130
131,Content Submitters,Access for users submitting content for publication,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-submitters,131
133,Verified Customers,Access restricted to customers with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-customers,133
134,Event Attendees,Access for attendees of events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-attendees,134
135,Content Editors,Access limited to editors and moderators of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-editors,135
136,Program Coordinators,Access restricted to coordinators and administrators of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-coordinators,136
137,Content Managers,Access for managers and overseers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-managers,137
138,Internal Developers,Access limited to internal development team,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-developers,138
139,Verified Participants,Access restricted to participants with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-participants,139
140,Event Speakers,Access for speakers and presenters at events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-speakers,140
141,Content Writers,Access limited to writers and contributors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-writers,141
142,Program Managers,Access restricted to managers and leaders of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-managers,142
143,Content Moderators,Access for moderators and overseers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-moderators,143
145,Verified Reviewers,Access restricted to reviewers with verified credentials,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-reviewers,145
146,Content Publishers,Access limited to publishers and authors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-publishers,146
147,Program Advisors,Access restricted to advisors and consultants of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-advisors,147
148,Content Analysts,Access for analysts and researchers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-analysts,148
149,Internal Testers,Access limited to internal users participating in testing,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-testers,149
150,Event Volunteers,Access for volunteers assisting at events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-volunteers,150
151,Content Curators,Access restricted to curators and collectors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-curators,151
152,Program Members,Access limited to members enrolled in specific programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-members,152
153,Content Submitters,Access for users submitting content for publication,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-submitters,153
155,Verified Customers,Access restricted to customers with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-customers,155
156,Event Attendees,Access for attendees of events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-attendees,156
157,Content Editors,Access limited to editors and moderators of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-editors,157
158,Program Coordinators,Access restricted to coordinators and administrators of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-coordinators,158
159,Content Managers,Access for managers and overseers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-managers,159
160,Internal Developers,Access limited to internal development team,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-developers,160
161,Verified Participants,Access restricted to participants with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-participants,161
162,Event Speakers,Access for speakers and presenters at events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-speakers,162
163,Content Writers,Access limited to writers and contributors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-writers,163
164,Program Managers,Access restricted to managers and leaders of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-managers,164
165,Content Moderators,Access for moderators and overseers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-moderators,165
167,Verified Reviewers,Access restricted to reviewers with verified credentials,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-reviewers,167
168,Event Sponsors,Access for sponsors and supporters of events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-sponsors,168
169,Content Publishers,Access limited to publishers and authors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-publishers,169
170,Program Advisors,Access restricted to advisors and consultants of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-advisors,170
171,Content Analysts,Access for analysts and researchers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-analysts,171
172,Internal Testers,Access limited to internal users participating in testing,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-testers,172
173,Event Volunteers,Access for volunteers assisting at events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-volunteers,173
174,Content Curators,Access restricted to curators and collectors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-curators,174
175,Program Members,Access limited to members enrolled in specific programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-members,175
176,Content Submitters,Access for users submitting content for publication,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-submitters,176
178,Verified Customers,Access restricted to customers with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-customers,178
179,Event Attendees,Access for attendees of events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-attendees,179
180,Content Editors,Access limited to editors and moderators of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-editors,180
181,Program Coordinators,Access restricted to coordinators and administrators of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-coordinators,181
182,Content Managers,Access for managers and overseers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-managers,182
183,Internal Developers,Access limited to internal development team,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-developers,183
184,Verified Participants,Access restricted to participants with verified accounts,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-participants,184
185,Event Speakers,Access for speakers and presenters at events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-speakers,185
186,Content Writers,Access limited to writers and contributors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-writers,186
187,Program Managers,Access restricted to managers and leaders of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-managers,187
188,Content Moderators,Access for moderators and overseers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-moderators,188
190,Verified Reviewers,Access restricted to reviewers with verified credentials,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/verified-reviewers,190
191,Event Sponsors,Access for sponsors and supporters of events,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-sponsors,191
192,Content Publishers,Access limited to publishers and authors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-publishers,192
193,Program Advisors,Access restricted to advisors and consultants of programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-advisors,193
194,Content Analysts,Access for analysts and researchers of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-analysts,194
195,Internal Testers,Access limited to internal users participating in testing,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-testers,195
196,Event Volunteers,Access for volunteers assisting at events and conferences,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/event-volunteers,196
197,Content Curators,Access restricted to curators and collectors of website content,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-curators,197
198,Program Members,Access limited to members enrolled in specific programs,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/program-members,198
199,Content Submitters,Access for users submitting content for publication,Restricted,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/content-submitters,199
1,Public,Accessible to all users without restrictions,Public,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/public,1
3,Premium Members,Exclusive access for premium members,Exclusive,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/premium,3
4,Administrators,Access restricted to administrators only,Admin Only,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/admin,4
32,VIP Customers,Exclusive access for VIP customers and high-spending clients,Exclusive,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/vip-customers,32
33,Internal Users,Access limited to internal users within the organization,Internal,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-users,33
58,Internal Staff,Access limited to internal staff members,Internal,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-staff,58
64,Internal Administrators,Access restricted to internal administrators,Admin Only,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-administrators,64
88,Internal Administrators,Access limited to internal administrators and supervisors,Admin Only,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-administrators,88
99,Internal Users,Access limited to internal users and staff members,Internal,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-users,99
111,Internal Administrators,Access limited to internal administrators and supervisors,Admin Only,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-administrators,111
115,Internal Users,Access limited to internal users and staff members,Internal,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-users,115
121,Internal Administrators,Access limited to internal administrators and supervisors,Admin Only,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-administrators,121
132,Internal Users,Access limited to internal users and staff members,Internal,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-users,132
144,Internal Administrators,Access limited to internal administrators and supervisors,Admin Only,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-administrators,144
154,Internal Users,Access limited to internal users and staff members,Internal,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-users,154
166,Internal Administrators,Access limited to internal administrators and supervisors,Admin Only,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-administrators,166
177,Internal Users,Access limited to internal users and staff members,Internal,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-users,177
189,Internal Administrators,Access limited to internal administrators and supervisors,Admin Only,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-administrators,189
200,Internal Users,Access limited to internal users and staff members,Internal,True,Admin,01/01/2023,Admin,12/06/2024,https://example.com/internal-users,200
